Company_Name,Founded,HeadQuarter,Sector,What_it_does,Investor,Amount($),Stage,Funding_Year
iBus,2010.0,Bangalore,Telecommuncation,iBus Networks is an in-building connectivity solutions company,Morgan Stanley,21000000.0,Undisclosed,2021
Puresh Daily,2019.0,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners",100000.0,Seed,2021
LearnVern,2016.0,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,unidisclosed,1000000.0,Undisclosed,2021
LimeChat,2020.0,"Faridabad, Haryana",AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed,2021
Dybo,2019.0,Bangalore,IT,Product Visualisation Technology for Commerce,Spanache,100000.0,Seed,2021
moEVing,2021.0,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",unidisclosed,1000000.0,Seed,2021
WeWork India,2017.0,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",unidisclosed,26000000.0,Undisclosed,2021
Solethreads,2018.0,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital",1000000.0,Series A,2021
Beldara,2018.0,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Hindustan Media Ventures,7400000.0,Undisclosed,2021
CredFlow,2020.0,New Delhi,FinTech,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2021
Do Your Thng,2018.0,Gurugram,Marketing,World's first shared economy platform for digital assets.,"Angelbay Holdings, Faad Network",1500000.0,Undisclosed,2021
Oye Rickshaw,2017.0,Gurugram,Transportation,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Alteria Capital, Chiratae Ventures",3000000.0,Undisclosed,2021
Legitquest,2017.0,New Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"WaterBridge Ventures, Info Edge",600000.0,Undisclosed,2021
Swiggy,2014.0,Bangalore,Food delivery,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Carmignac, Falcon Edge Capital",800000000.0,Undisclosed,2021
PlayShifu,2016.0,Bangalore,EdTech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,2021
Pitstop,2015.0,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Acko Technology, Services, LetsVenture",3500000.0,Pre-series B,2021
Lendingkart,1999.0,Gujarat,FinTech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Debt,2021
CRED,2018.0,Bangalore,FinTech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Series D,2021
Karnival,2015.0,Bangalore,SaaS startup,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,http://100x.vc/,2500000.0,Seed,2021
PharmEasy,2015.0,Mumbai,HealthTech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Series E,2021
WESS,1989.0,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Centrum Financial Services,2000000.0,Seed,2021
ShopSe,2020.0,Mumbai,FinTech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Chiratae Ventures, BEENEXT",5500000.0,Undisclosed,2021
Fantasy Akhada,2020.0,Gurugram,Fantasy sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Harsha Bhogle,600000.0,Undisclosed,2021
Groww,2017.0,Bangalore,FinTech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Series D,2021
Avanti Finance,2016.0,Bangalore,FinTech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,Michael & Susan Dell Foundation,26000000.0,Series A,2021
OfBusiness,2015.0,Gurugram,FinTech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Falcon Edge India, Norwest Venture Partners",110000000.0,Undisclosed,2021
Superpro.ai,2019.0,Bangalore,Video communication,Enabling independent professionals to bring offline consulting online with AI,"SOSV, Omphalos Ventures India",3000000.0,Seed,2021
ShareChat,2015.0,Bangalore,Social Media,ShareChat is a social networking and regional content platform.,"Twitter Ventures, Pawan Munjal",500000000.0,Undisclosed,2021
WiT-ACE,2020.0,Gurugram,Skill development,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",CitiusTech,1000000.0,Seed,2021
Spinny,2015.0,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Arena Holdings, Think Investments",65000000.0,Series C,2021
Safexpay,2017.0,Thane,FinTech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,"T Choithrams BVI, Ardor",6000000.0,Undisclosed,2021
PumPumPum,2018.0,Gurugram,Rental,Pumpumpum is a car rental company.,"Kogta Financial India Limited, ICICI Bank",700000.0,Pre-series A,2021
Speciale Invest,2017.0,Bangalore,FinTech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,unidisclosed,10000000.0,Undisclosed,2021
Eunimart,2016.0,Hyderabad,E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"SucSEED Venture Partners, TMT Connekt",700000.0,Pre-series A,2021
Meesho,2015.0,Bangalore,E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"SAIF Partners, Venture Highway",300000000.0,Undisclosed,2021
CareerLabs,2019.0,Bangalore,EdTech,"Aim to help students become future-ready, setting them on a path to success that suits them best.",Global Founders Capital,2200000.0,Undisclosed,2021
Uable,2020.0,Bangalore,EdTech,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,"JAFCO Asia, Chiratae Ventures",35000000.0,Pre-series A,2021
Zoko,2016.0,Bangalore,Tech Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",Y Combinator,140000000.0,Seed,2021
GetWork,2019.0,Gurugram,Recruitment,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Artha Venture Fund,200000.0,Seed,2021
Easebuzz,2015.0,Pune,E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,"Jitendra Gupta, Amrish Rau",4000000.0,Series A,2021
Chingari,2018.0,Bangalore,Social Media,Chingari operates as a short video platform.,"FJ Labs, Brian Norgard",13000000.0,Undisclosed,2021
DusMinute,2017.0,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Indian Angel Network,1100000.0,Pre-series A,2021
Factors.AI,2020.0,Bangalore,SaaS startup,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Elevation Partners, Emergent Ventures",2000000.0,Undisclosed,2021
Elevar,2017.0,Mumbai,Sports,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kalaari Capital, Dream Capital",2000000.0,Undisclosed,2021
Studio Sirah,2020.0,Bangalore,Computer Games,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,Lumikai,800000.0,Undisclosed,2021
OTO Capital,2018.0,Mumbai,FinTech,The Future Of Vehicle Ownership!,Matrix Partners India,6000000.0,Undisclosed,2021
1Bridge,2016.0,Bangalore,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",C4D Partners,2500000.0,Undisclosed,2021
Skeps,2018.0,Gurugram,FinTech,"A blockchain products company, developing a proprietary product in the FinTech space",Bertelsmann India,9500000.0,Undisclosed,2021
Curefoods,2020.0,Bangalore,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Undisclosed,2021
TartanSense,2015.0,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,"FMC, Omnivore, Blume Ventures",5000000.0,Undisclosed,2021
Bewakoof,2012.0,Mumbai,Apparel & Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",InvestCorp,8000000.0,Undisclosed,2021
Kirana247,2018.0,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,unidisclosed,1000000.0,Undisclosed,2021
IsGoingOnline,2015.0,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Undisclosed,2021
Camp K12,2010.0,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions","Matrix Partners India, Elevation Capital",12000000.0,Undisclosed,2021
Elda Health,2020.0,Bangalore,HealthCare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Avaana Capital, Orios Ventures",1500000.0,Undisclosed,2021
Sporjo,2020.0,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,Punit Balan,2000000.0,Undisclosed,2021
Advantage Club,2014.0,Mumbai,HRTech,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,Undisclosed,2021
SuperGaming,2017.0,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Undisclosed,2021
Ruptok,2020.0,New Delhi,FinTech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Eclear Leasing,1000000.0,Undisclosed,2021
TartanSense,2015.0,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,"FMC, Omnivore, Blume Ventures",5000000.0,Series A,2021
Kirana247,2018.0,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,unidisclosed,1000000.0,Pre-series A,2021
IsGoingOnline,2015.0,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Pre-series A,2021
Camp K12,2010.0,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions","Matrix Partners India, Elevation Capital",12000000.0,Series A,2021
Elda Health,2020.0,Bangalore,HealthCare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Avaana Capital, Orios Ventures",1500000.0,Seed,2021
Sporjo,2020.0,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,Punit Balan,2000000.0,Pre-series A,2021
SuperGaming,2017.0,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Series A,2021
O’ Be Cocktails,2019.0,Bangalore,Wine & Spirits,India’s first and only Ready to Drink Premium Cocktails.,"First Cheque, Letsventure",400000.0,Undisclosed,2021
Zetwerk,2018.0,Bangalore,Mechanical & Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,unidisclosed,150000000.0,Series E,2021
AppsForBharat,2020.0,Bangalore,Spiritual,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.","Sequoia Capital India, BEENEXT",4000000.0,Seed,2021
Khatabook,2018.0,Bangalore,Financial Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Series C,2021
Smytten,2015.0,Gurugram,Consumer Goods,India's largest premium discovery and trial platform!,Fireside Ventures,6000000.0,Series A,2021
Syook,2016.0,Bangalore,Industrial Automation,Syook is building the next generation enterprise IOT platform.,"Inflection Point Ventures, ONGC",1000000.0,Series A,2021
NOTO,2019.0,Mumbai,Consumer Goods,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",500000.0,Pre-series A,2021
Lumiq,2013.0,Noida,Information Technology,Help enterprises monetize their data and reinvent the digital transformation journey.,Info Edge Ventures,2000000.0,Seed,2021
Breathe Well-being,2015.0,Gurugram,Health,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",Accel,5500000.0,Series A,2021
House of Kieraya,2013.0,Bangalore,Lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",TradeCred,15000000.0,Undisclosed,2021
goEgoNetwork,2019.0,Pune,Automotive,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",unidisclosed,2000000.0,Undisclosed,2021
Probus,2017.0,New Delhi,IoT,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",Unicorn India Ventures,500000.0,Bridge,2021
DrinkPrime,2016.0,Bangalore,Consumer Goods,India's Smartest Water Purifiers and are redefining water purifier ownership.,"UC Inclusive Credit, Western Capital",1000000.0,Undisclosed,2021
Smart Express,,Mumbai,Logistics,India’s Most Innovative and Awarded Express Logistics Company.,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",10000000.0,Seed,2021
Smallcase,2015.0,Bangalore,FinTech,Smallcase is a new way to invest in the stock markets.,Faering Capital,40000000.0,Series C,2021
SATYA MicroCapital,2017.0,New Delhi,Banking,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,"responsAbility Investments, Blue Orchard",10000000.0,Undisclosed,2021
Postman,2014.0,Bangalore,Computer software,Postman is the collaboration platform for API development.,"CRV, Nexus Venture Partners",225000000.0,Series D,2021
Hashnode,2016.0,Bangalore,Computer software,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",6700000.0,Series A,2021
RACEnergy,2018.0,Hyderabad,Automotive,RACEnergy is working to power the future of mobility through clean and efficient technologies.,"Micelio Fund, growX ventures",1300000.0,Seed,2021
BharatPe,2018.0,New Delhi,FinTech,The vision to make financial inclusion a reality for Indian merchants.,"IIFL Wealth, Asset Management, Northern Arc Capital",20000000.0,Debt,2021
Gyde,2019.0,Pune,Computer software,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Better Capital, Ashish Achrekar",250000.0,Seed,2021
AgNext,2016.0,Chandigarh,AgriTech,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Alpha Wave Incubation,21000000.0,Series A,2021
Xpresslane,2019.0,Bangalore,Tech Startup,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.","Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.",400000.0,Pre-seed,2021
LoanKuber,2016.0,New Delhi,Digital mortgage,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,unidisclosed,1200000.0,Pre-series A,2021
OYO,2013.0,Gurugram,Hospitality,OYO is a global travel tech company that connects its patrons and guests.,Microsoft,5000000.0,Series F2,2021
Rapido,2015.0,Bangalore,Information Technology & Services,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Shell Ventures, Yamaha, Kunal Shah",52000000.0,Undisclosed,2021
YPay,2017.0,Noida,FinTech,YPay Card is the new way to manage money.,We Founder Circle,400000.0,Undisclosed,2021
SleepyCat,2017.0,Mumbai,Furniture,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,"Saama Capital, DSG Consumer Partners, Sharrp Ventures",3800000.0,Undisclosed,2021
Ultrahuman,2020.0,Bangalore,HealthCare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,Tiger Global’s Scott Schleifer,17500000.0,Undisclosed,2021
UpScalio,2021.0,Gurugram,E-commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",unidisclosed,42000000.0,Undisclosed,2021
Yellow Class,2020.0,Gurugram,EdTech,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on",Elevation Capital,6000000.0,Undisclosed,2021
Yojak,2019.0,Gurugram,B2B marketplace,India’s first B2B online marketplace for building material.,Info Edge Ventures,3800000.0,Undisclosed,2021
CreatorStack,2019.0,Bangalore,Computer software,Helping creators globally to engage deeply with their fans and communities,Accel,2000000.0,Undisclosed,2021
Expertrons,2019.0,Mumbai,EdTech,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2300000.0,Undisclosed,2021
Rage Coffee,2018.0,New Delhi,Food & Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Sixth Sense Ventures,5000000.0,Undisclosed,2021
Klub,2019.0,Bangalore,Financial Services,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"9Unicorns, Sequoia Capital India’s Surge",20000000.0,Undisclosed,2021
Navia Life Care,2016.0,New Delhi,Healtcare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Anicut Angel Fund, 9 Unicorns",1000000.0,Undisclosed,2021
1K Kirana Bazaar,2018.0,Gurugram,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Info Edge, FalconEdge",7000000.0,Undisclosed,2021
Zupee,2018.0,Gurugram,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","WestCap Group, Tomales Bay Capital",30000000.0,Undisclosed,2021
Locale.ai,2019.0,Bangalore,Location Analytics,Location Analytics for Companies With Moving Assets and Ground Operations.,"Chiratae Ventures, Better Capital",1000000.0,Undisclosed,2021
VerSe Innovation,2018.0,Bangalore,Media,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.","Siguler Guff, Baillie Gifford",450000000.0,Undisclosed,2021
Miko,2015.0,Mumbai,Consumer Electronics,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures",28000000.0,Undisclosed,2021
Whiz League,2020.0,New Delhi,EdTech,Revolutionizing learning experience that goes beyond academia,ITI Growth Opportunities,300000.0,Undisclosed,2021
Hash,2020.0,New Delhi,Tobacco,Hash is a new startup in consumer goods.,Amrac Investment Trust,3500000.0,Undisclosed,2021
Log 9 Materials,2014.0,Bangalore,Deeptech,Log9 Materials is on a mission to make global energy 100% clean.,Amara Raja Batteries,8500000.0,Series A,2021
upGrad,2015.0,Mumbai,EdTech,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",India Infoline Finance,25000000.0,Undisclosed,2021
FlashPrep,2020.0,Bangalore,EdTech,FlashPrep is the smart way to master learning.,Venture Highway,500000.0,Pre-seed,2021
Kenko Health,2019.0,Mumbai,Insuretech,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","BEENEXT, Orios",1700000.0,Pre-series A,2021
Wiz Freight,2020.0,Chennai,Logistics & Supply Chain,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",Axilor,3500000.0,Seed,2021
Credgenics,2018.0,New Delhi,Financial Services,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Westbridge Capital, Tanglin Venture Partners",25000000.0,Series A,2021
BlueLearn,2020.0,Goa,EdTech,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",400000.0,Pre-seed,2021
NimbleBox.ai,2018.0,Chennai,MLOps platform,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,Venture Catalysts,1000000.0,Seed,2021
Pickrr,2015.0,Gurugram,Logistics & Supply Chain,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"IIFL, Amicus Capital, Ananta Capital",12000000.0,Series B,2021
Stellaris Venture Partners,2015.0,Bangalore,Venture Capital,Early-stage tech VC in India.,unidisclosed,225000000.0,Undisclosed,2021
Grip Invest,2020.0,Gurugram,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Venture Highway, Endiya Partners",3000000.0,Series A,2021
Heads Up For Tails,2008.0,New Delhi,Pet care,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish","Verlinvest, Sequoia Capital India",37000000.0,Series A,2021
